review,aspect_category,sentiment
"Judging from previous posts this used to be a good place, but not any longer.",RESTAURANT#GENERAL,negative
"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",SERVICE#GENERAL,negative
"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",SERVICE#GENERAL,negative
The food was lousy - too sweet or too salty and the portions tiny.,FOOD#QUALITY,negative
The food was lousy - too sweet or too salty and the portions tiny.,FOOD#STYLE_OPTIONS,negative
"After all that, they complained to me about the small tip.",SERVICE#GENERAL,negative
Avoid this place!,RESTAURANT#GENERAL,negative
"I have eaten at Saul, many times, the food is always consistently, outrageously good.",FOOD#QUALITY,positive
Saul is the best restaurant on Smith Street and in Brooklyn.,RESTAURANT#GENERAL,positive
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,FOOD#QUALITY,positive
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,FOOD#QUALITY,positive
The wine list is interesting and has many good values.,DRINKS#STYLE_OPTIONS,positive
The wine list is interesting and has many good values.,DRINKS#PRICES,positive
"For the price, you cannot eat this well in Manhattan.",RESTAURANT#PRICES,positive
"For the price, you cannot eat this well in Manhattan.",FOOD#QUALITY,positive
I was very disappointed with this restaurant.,RESTAURANT#GENERAL,negative
Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,SERVICE#GENERAL,negative
I had to ask her three times before she finally came back with the dish Ive requested.,SERVICE#GENERAL,negative
"Food was okay, nothing great.",FOOD#QUALITY,neutral
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,FOOD#QUALITY,negative
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,FOOD#QUALITY,negative
Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,RESTAURANT#MISCELLANEOUS,negative
I/we will never go back to this place again.,RESTAURANT#GENERAL,negative
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",RESTAURANT#GENERAL,positive
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",SERVICE#GENERAL,positive
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",FOOD#QUALITY,positive
"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",RESTAURANT#PRICES,positive
You can't go wrong here.,RESTAURANT#GENERAL,positive
Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,RESTAURANT#GENERAL,positive
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",FOOD#QUALITY,positive
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",SERVICE#GENERAL,positive
"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",AMBIENCE#GENERAL,positive
I had the duck breast special on my last visit and it was incredible.,FOOD#QUALITY,positive
Can't wait wait for my next visit.,RESTAURANT#GENERAL,positive
"I had my eyes on this place, promising myself I will one day 'give it a try.'",,
And I hate to say this but I doubt I'll ever go back.,RESTAURANT#GENERAL,negative
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD#QUALITY,negative
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD#QUALITY,negative
"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",FOOD#QUALITY,negative
The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,FOOD#QUALITY,positive
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,FOOD#QUALITY,positive
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,FOOD#STYLE_OPTIONS,positive
"Anyways, if you're in the neighborhood to eat good food, I wouldn't waste my time trying to find something, rather go across the street to Tamari.",,
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,negative
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,positive
"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",AMBIENCE#GENERAL,negative
We ate outside at Haru's Sake bar because Haru's restaurant next door was overflowing.,,
What's the difference between the two?,,
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",DRINKS#STYLE_OPTIONS,positive
"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",SERVICE#GENERAL,positive
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",FOOD#QUALITY,positive
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",FOOD#QUALITY,positive
We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,SERVICE#GENERAL,positive
we love th pink pony.,RESTAURANT#GENERAL,positive
THe perfect spot.,RESTAURANT#GENERAL,positive
Food-awesome.,FOOD#QUALITY,positive
Service- friendly and attentive.,SERVICE#GENERAL,positive
Ambiance- relaxed and stylish.,AMBIENCE#GENERAL,positive
"Don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.",RESTAURANT#GENERAL,positive
"i have eaten here a handful of times, for no reason besides sheer convenience.",,
"(i hang out, and live, in the neighborhood..)",,
the food is decent.,FOOD#QUALITY,neutral
"however, it's the service that leaves a bad taste in my mouth.",SERVICE#GENERAL,negative
